city,country,latitude,longitude,temperature,humidity,cloudiness,wind_speed
jamestown,SH,-33,-33,77,31,12,2
libourne,FR,44,44,52,81,0,5
avarua,CK,-21,-21,78,83,75,3
athni,IN,16,16,92,43,0,3
zachary,US,30,30,64,93,90,4
goderich,SL,43,43,40,99,92,9
pacific grove,US,36,36,51,87,1,4
vanavara,RU,60,60,24,74,80,6
albany,AU,42,42,38,86,90,9
chernyshevskiy,RU,63,63,26,59,24,5
namibe,AO,-15,-15,78,100,88,6
zhigansk,RU,66,66,13,53,48,7
moose factory,CA,51,51,-5,58,1,9
ngerengere,TZ,-6,-6,74,97,88,3
ostrovnoy,RU,68,68,30,100,88,10
izazi,TZ,-7,-7,71,79,56,3
beinamar,TD,8,8,76,53,8,5
faanui,PF,-16,-16,82,100,48,7
ambunti,PG,-4,-4,89,57,8,3
taltal,CL,-25,-25,50,100,36,1
bonavista,CA,48,48,21,100,0,14
byron bay,AU,-28,-28,77,65,40,14
khuzdar,PK,27,27,84,25,0,0
aconibe,GQ,1,1,70,97,56,3
gombong,ID,-7,-7,89,54,8,2
skagen,DK,58,58,40,82,92,9
kawardha,IN,22,22,94,29,0,4
bluff,NZ,-23,-23,81,48,44,18
hobart,AU,-42,-42,64,59,0,17
kichmengskiy gorodok,RU,59,59,34,84,20,9
hithadhoo,MV,0,0,84,100,0,2
te anau,NZ,-45,-45,50,89,76,12
puerto ayacucho,VE,5,5,74,87,76,2
sobinka,RU,55,55,35,89,44,4
wittlich,DE,49,49,45,100,90,4
kungurtug,RU,50,50,11,50,48,10
shorapani,GE,42,42,53,71,75,3
cape town,ZA,-33,-33,60,93,0,1
bennington,US,42,42,38,86,90,18
bosaso,SO,11,11,87,58,0,13
tabou,CI,4,4,80,100,24,7
bambous virieux,MU,-20,-20,82,78,75,12
kahului,US,20,20,73,94,92,3
dewas,IN,22,22,98,10,0,9
iqaluit,CA,63,63,26,63,75,4
vagay,RU,57,57,33,90,36,13
zhezkazgan,KZ,47,47,46,39,0,20
butaritari,KI,3,3,82,100,8,7
kavieng,PG,-2,-2,86,99,0,9
karratha,AU,-20,-20,107,14,0,7
dunedin,NZ,-45,-45,61,47,0,20
pisco,PE,-13,-13,68,82,0,5
castro,CL,-42,-42,58,96,92,14
yumen,CN,40,40,36,52,48,25
bethel,US,60,60,19,67,1,16
terrak,NO,65,65,34,64,75,17
kjollefjord,NO,70,70,31,94,90,19
katsuura,JP,33,33,77,38,75,14
mehamn,NO,71,71,31,94,75,31
fujin,CN,47,47,32,45,56,22
medak,IN,18,18,96,39,0,5
kuching,MY,1,1,89,62,75,5
sinjar,IQ,35,35,53,63,0,4
tobol,KZ,59,59,35,100,90,9
alcains,PT,39,39,44,98,92,11
eyl,SO,7,7,80,99,64,7
pombas,CV,-15,-15,72,95,36,3
sorland,NO,67,67,30,49,20,3
kargasok,RU,59,59,22,61,44,6
arraial do cabo,BR,-22,-22,75,94,56,9
provideniya,RU,64,64,22,100,0,19
ushuaia,AR,-54,-54,35,100,0,3
leningradskiy,RU,69,69,18,88,0,28
bredasdorp,ZA,-34,-34,68,82,92,5
poirino,IT,44,44,44,100,90,10
port alfred,ZA,-33,-33,72,94,92,11
gornja koprivna,BA,45,45,52,42,32,5
buala,SB,-8,-8,83,89,100,6
batticaloa,LK,7,7,85,93,20,5
ilulissat,GL,69,69,14,92,64,3
yulara,AU,-25,-25,93,14,0,10
vaini,TO,15,15,90,46,0,3
wanning,CN,48,48,50,81,0,2
dunmore east,IE,52,52,43,100,92,14
mwinilunga,ZM,-11,-11,64,93,92,3
gerash,IR,27,27,77,31,0,3
bhadra,IN,29,29,94,44,0,4
kuvshinovo,RU,57,57,33,93,36,4
polis,CY,35,35,69,49,0,4
yellowknife,CA,62,62,0,70,90,13
